Local time,Open,High,Low,Close,Volume
04.04.2015 23:00:00.000 GMT+0200,17764.928,17764.928,17764.928,17764.928,0
05.04.2015 23:00:00.000 GMT+0200,17602.986,17938.617,17598.885,17884.963,5.104900000000001
06.04.2015 23:00:00.000 GMT+0200,17883.974,17984.906,17857.630,17869.621,23.9206
07.04.2015 23:00:00.000 GMT+0200,17869.963,17977.987,17817.141,17912.213,22.8407
08.04.2015 23:00:00.000 GMT+0200,17915.708,17983.981,17822.491,17956.875,8.7288
09.04.2015 23:00:00.000 GMT+0200,17956.999,18067.484,17940.772,18057.990,10.401000000000002
10.04.2015 23:00:00.000 GMT+0200,18057.990,18057.990,18057.990,18057.990,0
11.04.2015 23:00:00.000 GMT+0200,18057.990,18057.990,18057.990,18057.990,0
12.04.2015 23:00:00.000 GMT+0200,18063.813,18108.986,17971.148,17993.851,9.753500000000003
13.04.2015 23:00:00.000 GMT+0200,17995.809,18075.953,17899.899,18045.755,13.537299999999997
14.04.2015 23:00:00.000 GMT+0200,18045.704,18160.978,18015.106,18109.972,9.298300000000001
15.04.2015 23:00:00.000 GMT+0200,18110.908,18168.274,18023.826,18111.794,7.614699999999999
16.04.2015 23:00:00.000 GMT+0200,18110.941,18118.727,17745.366,17845.984,15.545599999999999
17.04.2015 23:00:00.000 GMT+0200,17845.984,17845.984,17845.984,17845.984,0
18.04.2015 23:00:00.000 GMT+0200,17845.984,17845.984,17845.984,17845.984,0
19.04.2015 23:00:00.000 GMT+0200,17893.843,18094.995,17888.313,18030.951,12.773900000000001
20.04.2015 23:00:00.000 GMT+0200,18074.933,18150.506,17926.869,17953.904,12.027
21.04.2015 23:00:00.000 GMT+0200,17973.624,18054.975,17853.109,18035.803,10.6592
22.04.2015 23:00:00.000 GMT+0200,18014.484,18135.954,17898.155,18069.976,7.3974
23.04.2015 23:00:00.000 GMT+0200,18021.846,18110.837,18002.759,18081.995,23.772599999999994
24.04.2015 23:00:00.000 GMT+0200,18081.995,18081.995,18081.995,18081.995,0
25.04.2015 23:00:00.000 GMT+0200,18081.995,18081.995,18081.995,18081.995,0
26.04.2015 23:00:00.000 GMT+0200,18097.881,18183.943,18020.618,18044.915,13.4898
27.04.2015 23:00:00.000 GMT+0200,18050.898,18123.973,17912.830,18110.843,9.6187
28.04.2015 23:00:00.000 GMT+0200,18106.163,18140.985,17949.801,18033.842,17.4273
29.04.2015 23:00:00.000 GMT+0200,18019.298,18029.975,17765.389,17838.805,18.700100000000003
30.04.2015 23:00:00.000 GMT+0200,17870.807,18025.991,17870.807,18011.847,7.9471
01.05.2015 23:00:00.000 GMT+0200,18011.847,18011.847,18011.847,18011.847,0
02.05.2015 23:00:00.000 GMT+0200,18011.847,18011.847,18011.847,18011.847,0
03.05.2015 23:00:00.000 GMT+0200,18001.744,18131.996,17984.732,18066.953,12.239099999999999
04.05.2015 23:00:00.000 GMT+0200,18052.269,18096.999,17900.371,17926.847,10.308
05.05.2015 23:00:00.000 GMT+0200,17957.560,17998.125,17729.729,17836.820,8.8667
06.05.2015 23:00:00.000 GMT+0200,17841.621,17974.373,17683.611,17926.915,16.160500000000003
07.05.2015 23:00:00.000 GMT+0200,17957.756,18208.991,17953.698,18183.857,10.640899999999998
08.05.2015 23:00:00.000 GMT+0200,18183.857,18183.857,18183.857,18183.857,0
09.05.2015 23:00:00.000 GMT+0200,18183.857,18183.857,18183.857,18183.857,0
10.05.2015 23:00:00.000 GMT+0200,18167.654,18201.321,18087.981,18101.960,7.4043
11.05.2015 23:00:00.000 GMT+0200,18102.935,18119.082,17920.260,18059.703,10.6451
12.05.2015 23:00:00.000 GMT+0200,18117.061,18160.995,18038.728,18063.783,11.120800000000001
13.05.2015 23:00:00.000 GMT+0200,18062.654,18255.980,18030.000,18240.914,8.9579
14.05.2015 23:00:00.000 GMT+0200,18232.897,18284.813,18209.805,18265.911,8.767900000000003
15.05.2015 23:00:00.000 GMT+0200,18265.911,18265.911,18265.911,18265.911,0
16.05.2015 23:00:00.000 GMT+0200,18265.911,18265.911,18265.911,18265.911,0
17.05.2015 23:00:00.000 GMT+0200,18251.863,18324.492,18217.900,18289.997,8.180600000000002
18.05.2015 23:00:00.000 GMT+0200,18309.622,18364.123,18258.813,18309.706,8.0321
19.05.2015 23:00:00.000 GMT+0200,18311.954,18350.588,18270.901,18287.806,7.644600000000002
20.05.2015 23:00:00.000 GMT+0200,18253.705,18313.694,18238.210,18289.963,6.0667
21.05.2015 23:00:00.000 GMT+0200,18299.926,18304.615,18212.142,18234.580,5.852300000000001
22.05.2015 23:00:00.000 GMT+0200,18234.580,18234.580,18234.580,18234.580,0
23.05.2015 23:00:00.000 GMT+0200,18234.580,18234.580,18234.580,18234.580,0
24.05.2015 23:00:00.000 GMT+0200,18252.504,18274.796,18203.354,18234.667,0.8183999999999999
25.05.2015 23:00:00.000 GMT+0200,18224.467,18252.419,17989.346,18048.613,8.1998
26.05.2015 23:00:00.000 GMT+0200,18058.989,18189.297,18054.673,18164.513,6.357600000000001
27.05.2015 23:00:00.000 GMT+0200,18129.319,18139.031,18063.763,18122.978,6.715
28.05.2015 23:00:00.000 GMT+0200,18131.944,18143.993,17962.670,18010.922,29.6011
29.05.2015 23:00:00.000 GMT+0200,18010.922,18010.922,18010.922,18010.922,0
30.05.2015 23:00:00.000 GMT+0200,18010.922,18010.922,18010.922,18010.922,0
31.05.2015 23:00:00.000 GMT+0200,18072.781,18115.988,17978.812,18037.802,22.312
01.06.2015 23:00:00.000 GMT+0200,18035.718,18090.996,17911.759,18010.880,25.2085
02.06.2015 23:00:00.000 GMT+0200,18020.898,18168.986,18003.732,18081.962,25.662799999999997
03.06.2015 23:00:00.000 GMT+0200,18065.763,18087.964,17870.701,17916.902,42.3007
04.06.2015 23:00:00.000 GMT+0200,17920.000,17959.993,17816.679,17843.855,37.3295
05.06.2015 23:00:00.000 GMT+0200,17843.855,17843.855,17843.855,17843.855,0
06.06.2015 23:00:00.000 GMT+0200,17843.855,17843.855,17843.855,17843.855,0
07.06.2015 23:00:00.000 GMT+0200,17855.894,17866.970,17758.831,17771.476,22.825000000000003
08.06.2015 23:00:00.000 GMT+0200,17781.832,17815.996,17702.727,17758.843,25.245800000000003
09.06.2015 23:00:00.000 GMT+0200,17801.878,18045.958,17774.650,17993.774,21.8452
10.06.2015 23:00:00.000 GMT+0200,18001.945,18109.995,17991.546,18047.043,27.3228
11.06.2015 23:00:00.000 GMT+0200,18019.805,18041.935,17852.919,17898.460,24.1555
12.06.2015 23:00:00.000 GMT+0200,17898.460,17898.460,17898.460,17898.460,0
13.06.2015 23:00:00.000 GMT+0200,17898.460,17898.460,17898.460,17898.460,0
14.06.2015 23:00:00.000 GMT+0200,17843.949,17865.821,17692.451,17791.796,26.6373
15.06.2015 23:00:00.000 GMT+0200,17771.973,17918.999,17687.522,17900.740,19.9476
16.06.2015 23:00:00.000 GMT+0200,17930.947,17997.989,17838.774,17933.847,17.5121
17.06.2015 23:00:00.000 GMT+0200,17862.922,18176.993,17862.807,18118.841,21.579
18.06.2015 23:00:00.000 GMT+0200,18119.999,18153.995,18000.714,18002.932,24.141399999999997
19.06.2015 23:00:00.000 GMT+0200,18002.932,18002.932,18002.932,18002.932,0
20.06.2015 23:00:00.000 GMT+0200,18002.932,18002.932,18002.932,18002.932,0
21.06.2015 23:00:00.000 GMT+0200,18066.944,18180.000,18061.833,18116.937,18.8905
22.06.2015 23:00:00.000 GMT+0200,18155.977,18186.968,18102.600,18134.772,24.098100000000002
23.06.2015 23:00:00.000 GMT+0200,18131.858,18147.982,17961.668,17964.946,33.292300000000004
24.06.2015 23:00:00.000 GMT+0200,17993.980,18074.995,17875.843,17881.943,16.586000000000002
25.06.2015 23:00:00.000 GMT+0200,17903.734,18008.985,17873.672,17943.960,36.074
26.06.2015 23:00:00.000 GMT+0200,17943.960,17943.960,17943.960,17943.960,0
27.06.2015 23:00:00.000 GMT+0200,17943.960,17943.960,17943.960,17943.960,0
28.06.2015 23:00:00.000 GMT+0200,17721.442,17845.766,17581.800,17590.972,25.731399999999994
29.06.2015 23:00:00.000 GMT+0200,17658.930,17738.986,17569.996,17591.936,32.601099999999995
30.06.2015 23:00:00.000 GMT+0200,17682.870,17804.746,17670.572,17752.871,33.393499999999996
01.07.2015 23:00:00.000 GMT+0200,17751.751,17826.997,17683.866,17720.887,20.4152
02.07.2015 23:00:00.000 GMT+0200,17747.857,17753.977,17682.791,17700.859,8.6288
03.07.2015 23:00:00.000 GMT+0200,17700.859,17700.859,17700.859,17700.859,0
04.07.2015 23:00:00.000 GMT+0200,17700.859,17700.859,17700.859,17700.859,0
05.07.2015 23:00:00.000 GMT+0200,17549.979,17731.965,17548.387,17685.854,33.5133
06.07.2015 23:00:00.000 GMT+0200,17785.908,17815.981,17462.737,17780.996,29.3315
07.07.2015 23:00:00.000 GMT+0200,17643.817,17682.962,17492.688,17527.876,33.2887
08.07.2015 23:00:00.000 GMT+0200,17639.829,17766.877,17537.858,17537.858,30.593
09.07.2015 23:00:00.000 GMT+0200,17709.825,17799.954,17667.805,17760.921,24.407200000000003
10.07.2015 23:00:00.000 GMT+0200,17760.921,17760.921,17760.921,17760.921,0
11.07.2015 23:00:00.000 GMT+0200,17760.921,17760.921,17760.921,17760.921,0
12.07.2015 23:00:00.000 GMT+0200,17731.903,17987.439,17697.361,17974.223,20.8697
13.07.2015 23:00:00.000 GMT+0200,17972.432,18071.966,17949.502,18051.917,16.353099999999998
14.07.2015 23:00:00.000 GMT+0200,18058.378,18089.909,18007.632,18049.676,19.5343
15.07.2015 23:00:00.000 GMT+0200,18125.977,18150.998,18062.809,18119.950,18.1781
16.07.2015 23:00:00.000 GMT+0200,18084.780,18102.990,18030.684,18080.804,19.9161
17.07.2015 23:00:00.000 GMT+0200,18080.804,18080.804,18080.804,18080.804,0
18.07.2015 23:00:00.000 GMT+0200,18080.804,18080.804,18080.804,18080.804,0
19.07.2015 23:00:00.000 GMT+0200,18088.763,18136.990,18060.592,18095.910,20.776
20.07.2015 23:00:00.000 GMT+0200,18085.763,18097.863,17866.654,17920.974,28.084199999999996
21.07.2015 23:00:00.000 GMT+0200,17869.888,17909.637,17805.519,17854.837,36.35679999999999
22.07.2015 23:00:00.000 GMT+0200,17890.669,17907.799,17701.416,17739.993,41.155899999999995
23.07.2015 23:00:00.000 GMT+0200,17749.874,17785.974,17549.538,17574.934,40.721900000000005
24.07.2015 23:00:00.000 GMT+0200,17574.934,17574.934,17574.934,17574.934,0
25.07.2015 23:00:00.000 GMT+0200,17574.934,17574.934,17574.934,17574.934,0
26.07.2015 23:00:00.000 GMT+0200,17603.514,17615.952,17396.569,17450.925,23.1076
27.07.2015 23:00:00.000 GMT+0200,17529.970,17649.045,17448.586,17630.968,9.0193
28.07.2015 23:00:00.000 GMT+0200,17615.614,17776.509,17610.875,17735.889,10.4668
29.07.2015 23:00:00.000 GMT+0200,17747.306,17779.055,17635.254,17747.412,9.890600000000001
30.07.2015 23:00:00.000 GMT+0200,17764.875,17800.828,17670.816,17690.759,10.549900000000001
31.07.2015 23:00:00.000 GMT+0200,17690.759,17690.759,17690.759,17690.759,0
01.08.2015 23:00:00.000 GMT+0200,17690.759,17690.759,17690.759,17690.759,0
02.08.2015 23:00:00.000 GMT+0200,17684.651,17736.855,17494.893,17595.623,9.823799999999999
03.08.2015 23:00:00.000 GMT+0200,17590.798,17635.000,17503.849,17550.851,21.4075
04.08.2015 23:00:00.000 GMT+0200,17508.912,17660.443,17508.465,17548.907,8.7584
05.08.2015 23:00:00.000 GMT+0200,17509.531,17565.998,17360.965,17413.860,13.504900000000001
06.08.2015 23:00:00.000 GMT+0200,17441.471,17448.305,17276.159,17376.903,9.038499999999999
07.08.2015 23:00:00.000 GMT+0200,17376.903,17376.903,17376.903,17376.903,0
08.08.2015 23:00:00.000 GMT+0200,17376.903,17376.903,17376.903,17376.903,0
09.08.2015 23:00:00.000 GMT+0200,17419.306,17628.987,17368.483,17612.965,12.653599999999999
10.08.2015 23:00:00.000 GMT+0200,17527.799,17561.999,17350.884,17405.869,23.109099999999994
11.08.2015 23:00:00.000 GMT+0200,17300.782,17422.969,17124.960,17398.859,25.5742
12.08.2015 23:00:00.000 GMT+0200,17442.674,17480.931,17338.050,17419.808,27.6197
13.08.2015 23:00:00.000 GMT+0200,17409.868,17491.995,17366.195,17471.935,27.2303
14.08.2015 23:00:00.000 GMT+0200,17471.935,17471.935,17471.935,17471.935,0
15.08.2015 23:00:00.000 GMT+0200,17471.935,17471.935,17471.935,17471.935,0
16.08.2015 23:00:00.000 GMT+0200,17475.702,17552.823,17337.990,17545.930,15.6586
17.08.2015 23:00:00.000 GMT+0200,17536.772,17570.989,17474.090,17512.990,28.875699999999995
18.08.2015 23:00:00.000 GMT+0200,17468.925,17519.279,17279.868,17341.815,18.020100000000003
19.08.2015 23:00:00.000 GMT+0200,17318.119,17320.141,16992.369,16992.551,12.475100000000001
20.08.2015 23:00:00.000 GMT+0200,16841.177,16941.943,16456.669,16461.809,44.150600000000004
21.08.2015 23:00:00.000 GMT+0200,16461.809,16461.809,16461.809,16461.809,0
